[BACKTEST] Starting for BTC-USD on 15m...
[DATA] Fetched Multi-TF for BTC-USD (15m: 3000, 1h: 3000, 1d: 3000)
[BACKTEST] Fetched 3000 bars.
[HURST] MEAN_REVERTING | R/S=0.465 DFA=0.412 Mean=0.438 Stable=true
[HURST] RANDOM_WALK | R/S=0.453 DFA=0.467 Mean=0.460 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.538 DFA=0.382 Mean=0.460 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.508 DFA=0.461 Mean=0.485 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.542 DFA=0.498 Mean=0.520 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.607 DFA=0.532 Mean=0.569 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.590 DFA=0.444 Mean=0.517 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.646 DFA=0.709 Mean=0.678 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=false
[HURST] TRENDING | R/S=0.648 DFA=0.534 Mean=0.591 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.677 DFA=0.636 Mean=0.657 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=false
[HURST] TRENDING | R/S=0.677 DFA=0.640 Mean=0.658 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=false
[HURST] TRENDING | R/S=0.669 DFA=0.520 Mean=0.594 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.694 DFA=0.499 Mean=0.597 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.646 DFA=0.610 Mean=0.628 Stable=true
[REGIME] TRENDING | Heuristic Score=48.1% | Actionable=false
[HURST] TRENDING | R/S=0.638 DFA=0.670 Mean=0.654 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=false
[HURST] TRENDING | R/S=0.673 DFA=0.656 Mean=0.665 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=false
[HURST] TRENDING | R/S=0.596 DFA=0.517 Mean=0.557 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.599 DFA=0.522 Mean=0.560 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.667 DFA=0.523 Mean=0.595 Stable=false
[REGIME] TRENDING | Heuristic Score=0.4% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.500 DFA=0.450 Mean=0.475 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.580 DFA=0.450 Mean=0.515 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.548 DFA=0.526 Mean=0.537 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.526 DFA=0.446 Mean=0.486 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.565 DFA=0.484 Mean=0.525 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.608 DFA=0.474 Mean=0.541 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.652 DFA=0.472 Mean=0.562 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.572 DFA=0.545 Mean=0.558 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.529 DFA=0.494 Mean=0.512 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.539 DFA=0.583 Mean=0.561 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.576 DFA=0.550 Mean=0.563 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.569 DFA=0.504 Mean=0.537 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.548 DFA=0.540 Mean=0.544 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.544 DFA=0.560 Mean=0.552 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.597 DFA=0.566 Mean=0.581 Stable=true
[REGIME] TRENDING | Heuristic Score=1.4% | Actionable=false
[HURST] TRENDING | R/S=0.570 DFA=0.560 Mean=0.565 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.552 DFA=0.548 Mean=0.550 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.567 DFA=0.618 Mean=0.593 Stable=true
[REGIME] TRENDING | Heuristic Score=12.6% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.453 DFA=0.472 Mean=0.462 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.499 DFA=0.422 Mean=0.461 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.509 DFA=0.480 Mean=0.494 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.413 DFA=0.457 Mean=0.435 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.435 DFA=0.460 Mean=0.447 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.506 DFA=0.514 Mean=0.510 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.460 DFA=0.443 Mean=0.452 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.444 DFA=0.316 Mean=0.380 Stable=false
[REGIME] MEAN_REVERTING | Heuristic Score=27.2% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.559 DFA=0.510 Mean=0.535 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.594 DFA=0.448 Mean=0.521 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.529 DFA=0.399 Mean=0.464 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.620 DFA=0.582 Mean=0.601 Stable=true
[REGIME] TRENDING | Heuristic Score=21.3% | Actionable=false
[HURST] TRENDING | R/S=0.579 DFA=0.601 Mean=0.590 Stable=true
[REGIME] TRENDING | Heuristic Score=10.1% | Actionable=false
[HURST] TRENDING | R/S=0.612 DFA=0.574 Mean=0.593 Stable=true
[REGIME] TRENDING | Heuristic Score=13.1% | Actionable=false
[HURST] TRENDING | R/S=0.605 DFA=0.609 Mean=0.607 Stable=true
[REGIME] TRENDING | Heuristic Score=27% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.559 DFA=0.508 Mean=0.534 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.586 DFA=0.589 Mean=0.587 Stable=true
[REGIME] TRENDING | Heuristic Score=7.5% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.515 DFA=0.520 Mean=0.517 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.553 DFA=0.556 Mean=0.554 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.564 DFA=0.484 Mean=0.524 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.544 DFA=0.559 Mean=0.551 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.526 DFA=0.592 Mean=0.559 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.531 DFA=0.525 Mean=0.528 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.500 DFA=0.503 Mean=0.501 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.552 DFA=0.493 Mean=0.522 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.481 DFA=0.399 Mean=0.440 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.509 DFA=0.515 Mean=0.512 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.606 DFA=0.598 Mean=0.602 Stable=true
[REGIME] TRENDING | Heuristic Score=22% | Actionable=false
[HURST] TRENDING | R/S=0.601 DFA=0.590 Mean=0.595 Stable=true
[REGIME] TRENDING | Heuristic Score=15.4% | Actionable=false
[HURST] TRENDING | R/S=0.587 DFA=0.560 Mean=0.573 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.530 DFA=0.414 Mean=0.472 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.498 DFA=0.494 Mean=0.496 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.570 DFA=0.506 Mean=0.538 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.547 DFA=0.474 Mean=0.511 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.581 DFA=0.507 Mean=0.544 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.567 DFA=0.536 Mean=0.552 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.603 DFA=0.585 Mean=0.594 Stable=true
[REGIME] TRENDING | Heuristic Score=13.6% | Actionable=false
[HURST] TRENDING | R/S=0.642 DFA=0.571 Mean=0.607 Stable=true
[REGIME] TRENDING | Heuristic Score=26.6% | Actionable=false
[HURST] TRENDING | R/S=0.617 DFA=0.620 Mean=0.618 Stable=true
[REGIME] TRENDING | Heuristic Score=38.5% | Actionable=false
[HURST] TRENDING | R/S=0.637 DFA=0.605 Mean=0.621 Stable=true
[REGIME] TRENDING | Heuristic Score=40.8% | Actionable=false
[HURST] TRENDING | R/S=0.646 DFA=0.579 Mean=0.612 Stable=true
[REGIME] TRENDING | Heuristic Score=32.3% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.581 DFA=0.481 Mean=0.531 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.555 DFA=0.580 Mean=0.568 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.517 DFA=0.444 Mean=0.480 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.550 DFA=0.469 Mean=0.510 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.575 DFA=0.511 Mean=0.543 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.563 DFA=0.493 Mean=0.528 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.533 DFA=0.449 Mean=0.491 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.593 DFA=0.575 Mean=0.584 Stable=true
[REGIME] TRENDING | Heuristic Score=4.1% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.557 DFA=0.472 Mean=0.514 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.629 DFA=0.464 Mean=0.547 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.601 DFA=0.517 Mean=0.559 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.555 DFA=0.531 Mean=0.543 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.591 DFA=0.554 Mean=0.573 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.510 DFA=0.404 Mean=0.457 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.528 DFA=0.416 Mean=0.472 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.481 DFA=0.476 Mean=0.478 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.500 DFA=0.439 Mean=0.469 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.475 DFA=0.497 Mean=0.486 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.572 DFA=0.480 Mean=0.526 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.511 DFA=0.504 Mean=0.508 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.524 DFA=0.499 Mean=0.512 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.513 DFA=0.498 Mean=0.505 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.542 DFA=0.458 Mean=0.500 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.552 DFA=0.495 Mean=0.523 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.488 DFA=0.445 Mean=0.467 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.604 DFA=0.434 Mean=0.519 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.602 DFA=0.464 Mean=0.533 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.521 DFA=0.451 Mean=0.486 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.668 DFA=0.647 Mean=0.658 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.547 DFA=0.522 Mean=0.534 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.684 DFA=0.679 Mean=0.682 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=false
[HURST] TRENDING | R/S=0.718 DFA=0.736 Mean=0.727 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=false
[HURST] TRENDING | R/S=0.615 DFA=0.615 Mean=0.615 Stable=true
[REGIME] TRENDING | Heuristic Score=35% | Actionable=false
[HURST] TRENDING | R/S=0.616 DFA=0.612 Mean=0.614 Stable=true
[REGIME] TRENDING | Heuristic Score=34.1% | Actionable=false
[HURST] TRENDING | R/S=0.620 DFA=0.623 Mean=0.621 Stable=true
[REGIME] TRENDING | Heuristic Score=41.5% | Actionable=false
[HURST] TRENDING | R/S=0.608 DFA=0.567 Mean=0.587 Stable=true
[REGIME] TRENDING | Heuristic Score=7% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.550 DFA=0.431 Mean=0.490 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.637 DFA=0.664 Mean=0.650 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=false
[HURST] TRENDING | R/S=0.674 DFA=0.557 Mean=0.615 Stable=false
[REGIME] TRENDING | Heuristic Score=23.7% | Actionable=false
[HURST] TRENDING | R/S=0.653 DFA=0.596 Mean=0.625 Stable=true
[REGIME] TRENDING | Heuristic Score=44.7% | Actionable=false
[HURST] TRENDING | R/S=0.646 DFA=0.591 Mean=0.619 Stable=true
[REGIME] TRENDING | Heuristic Score=38.8% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.553 DFA=0.451 Mean=0.502 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.572 DFA=0.488 Mean=0.530 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.559 DFA=0.395 Mean=0.477 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.550 DFA=0.355 Mean=0.453 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.572 DFA=0.386 Mean=0.479 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.549 DFA=0.501 Mean=0.525 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.527 DFA=0.459 Mean=0.493 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.535 DFA=0.543 Mean=0.539 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.651 DFA=0.717 Mean=0.684 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=false
[HURST] TRENDING | R/S=0.603 DFA=0.678 Mean=0.640 Stable=true
[REGIME] TRENDING | Heuristic Score=60.2% | Actionable=false
[HURST] TRENDING | R/S=0.630 DFA=0.653 Mean=0.641 Stable=true
[REGIME] TRENDING | Heuristic Score=61.3% | Actionable=false
[MONGO] Connected to ghosttrade cluster
[BACKTEST] Upserted 8 setups to MongoDB.

=== EMPIRICAL HEURISTIC VALIDATION for BTC-USD 15m ===
Maximum Heuristic Score Reached: 70.00%
Bucket		Win Rate	Total Trades
> 0.80		N/A		0
0.70-0.80		36.4%		11
0.60-0.70		0.0%		2
0.50-0.60		50.0%		2
0.40-0.50		0.0%		6
< 0.40		32.3%		124
=========================================================

[BACKTEST] Starting for BTC-USD on 1h...
[DATA] Multi-TF Cache hit for BTC-USD
[BACKTEST] Fetched 3000 bars.
[HURST] RANDOM_WALK | R/S=0.584 DFA=0.447 Mean=0.515 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.636 DFA=0.643 Mean=0.639 Stable=true
[REGIME] TRENDING | Heuristic Score=59.3% | Actionable=false
[HURST] TRENDING | R/S=0.612 DFA=0.616 Mean=0.614 Stable=true
[REGIME] TRENDING | Heuristic Score=33.8% | Actionable=false
[HURST] TRENDING | R/S=0.581 DFA=0.564 Mean=0.572 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.610 DFA=0.684 Mean=0.647 Stable=true
[REGIME] TRENDING | Heuristic Score=67% | Actionable=false
[HURST] TRENDING | R/S=0.572 DFA=0.601 Mean=0.586 Stable=true
[REGIME] TRENDING | Heuristic Score=6.4% | Actionable=false
[HURST] TRENDING | R/S=0.594 DFA=0.610 Mean=0.602 Stable=true
[REGIME] TRENDING | Heuristic Score=22.2% | Actionable=false
[HURST] TRENDING | R/S=0.618 DFA=0.643 Mean=0.630 Stable=true
[REGIME] TRENDING | Heuristic Score=50.4% | Actionable=false
[HURST] TRENDING | R/S=0.662 DFA=0.651 Mean=0.656 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=false
[HURST] TRENDING | R/S=0.651 DFA=0.719 Mean=0.685 Stable=true
[REGIME] TRENDING | Heuristic Score=70% | Actionable=false
[HURST] TRENDING | R/S=0.663 DFA=0.588 Mean=0.626 Stable=true
[REGIME] TRENDING | Heuristic Score=45.5% | Actionable=false
[HURST] TRENDING | R/S=0.625 DFA=0.668 Mean=0.646 Stable=true
[REGIME] TRENDING | Heuristic Score=66.5% | Actionable=false
[HURST] TRENDING | R/S=0.553 DFA=0.605 Mean=0.579 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.588 DFA=0.613 Mean=0.600 Stable=true
[REGIME] TRENDING | Heuristic Score=20.1% | Actionable=false
[HURST] TRENDING | R/S=0.561 DFA=0.547 Mean=0.554 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.639 DFA=0.586 Mean=0.613 Stable=true
[REGIME] TRENDING | Heuristic Score=32.6% | Actionable=false
[HURST] TRENDING | R/S=0.638 DFA=0.543 Mean=0.590 Stable=true
[REGIME] TRENDING | Heuristic Score=10.4% | Actionable=false
[HURST] TRENDING | R/S=0.619 DFA=0.551 Mean=0.585 Stable=true
[REGIME] TRENDING | Heuristic Score=5.1% | Actionable=false
[HURST] TRENDING | R/S=0.628 DFA=0.580 Mean=0.604 Stable=true
[REGIME] TRENDING | Heuristic Score=23.9% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.545 DFA=0.529 Mean=0.537 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.625 DFA=0.636 Mean=0.631 Stable=true
[REGIME] TRENDING | Heuristic Score=50.6% | Actionable=false
[HURST] TRENDING | R/S=0.663 DFA=0.604 Mean=0.634 Stable=true
[REGIME] TRENDING | Heuristic Score=53.8% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.550 DFA=0.405 Mean=0.477 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.631 DFA=0.616 Mean=0.624 Stable=true
[REGIME] TRENDING | Heuristic Score=43.7% | Actionable=false
[HURST] TRENDING | R/S=0.580 DFA=0.546 Mean=0.563 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.559 DFA=0.466 Mean=0.513 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.621 DFA=0.505 Mean=0.563 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.645 DFA=0.544 Mean=0.595 Stable=false
[REGIME] TRENDING | Heuristic Score=4.6% | Actionable=false
[HURST] TRENDING | R/S=0.622 DFA=0.500 Mean=0.561 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.619 DFA=0.595 Mean=0.607 Stable=true
